127.0.0.1 - - [04/Aug/2017:11:59:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:05:45 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 500 5607
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:30 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 119268
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:30 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:30 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:31 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:49 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:49 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=a HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:50 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=Kolkata HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:50 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=Kolkata HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:52 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:54 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=Ramkrishna HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:55 +0530] "GET /pvs-inventory/Body/inventory_transaction/paddress.jsp?count=ram HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:09:58 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=xbubunPQ0005bubun0 HTTP/1.1" 500 5607
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:17:57 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 119268
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:17:58 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:17:58 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:17:59 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:18:17 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:18:17 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=a HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:18:17 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=Kolkata HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:18:17 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=Kolkata HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:18:20 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=a HTTP/1.1" 200 8
